Symbol,Description,Market Capitalization,Average Volume (10 Day),Price,Universe,Sector,Industry,Sub-Industry
WAY,Waystar Holding Corp,$6B (Small),"3,216,280",$32.65,Domestic,Health Care,Health Care Technology,Health Care Technology
WCC,Wesco International Inc,$13B (Mid),"448,560",$260.39,Domestic,Industrials,Trading Companies & Distributors,Trading Companies & Distributors
WCN,Waste Connections Inc,$44B (Large),"876,720",$172.63,International (ADR),Industrials,Commercial Services & Supplies,Environmental & Facilities Services
WDAY,Workday Inc,$59B (Large),"2,657,220",$224.49,Domestic,Information Technology,Software,Application Software
WDC,Western Digital Corp,$60B (Large),"6,750,970",$176.34,Domestic,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
WGS,GeneDx Holdings Corp,$4B (Small),"404,680",$151.51,Domestic,Health Care,Health Care Providers & Services,Health Care Services
WIT,Wipro Ltd,$29B (Mid),"6,867,030",$2.78,International (ADR),Information Technology,IT Services,IT Consulting & Other Services
WIX,Wix.Com Ltd,$6B (Small),"1,202,010",$101.87,International (ADR),Information Technology,IT Services,Internet Services & Infrastructure
WK,Workiva Inc,$5B (Small),"716,010",$87.33,Domestic,Information Technology,Software,Application Software
WLK,Westlake Corp,$10B (Mid),"1,744,080",$74.40,Domestic,Materials,Chemicals,Commodity Chemicals
WM,Waste Management Inc,$87B (Large),"2,107,110",$215.61,Domestic,Industrials,Commercial Services & Supplies,Environmental & Facilities Services
WMS,Advanced Drainage Systems Inc,$12B (Mid),"524,880",$149.67,Domestic,Industrials,Building Products,Building Products
WOR,Worthington Enterprises Inc,$3B (Small),"137,850",$58.36,Domestic,Industrials,Machinery,Industrial Machinery & Supplies & Components
WPM,Wheaton Precious Metals Corp,$53B (Large),"1,932,960",$117.53,International (ADR),Materials,Metals & Mining,Gold
WSC,WillScot Holdings Corp,$4B (Small),"2,868,310",$20.40,Domestic,Industrials,Construction & Engineering,Construction & Engineering
WSO,Watsco Inc,$12B (Mid),"468,700",$354.61,Domestic,Industrials,Trading Companies & Distributors,Trading Companies & Distributors
WST,West Pharmaceutical Services Inc,$19B (Mid),"676,860",$267.56,Domestic,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
WTKWY,Wolters Kluwer NV,$25B (Mid),"111,870",$104.73,International (ADR),Industrials,Professional Services,Research & Consulting Services
WTS,Watts Water Technologies Inc,$9B (Mid),"175,050",$279.11,Domestic,Industrials,Machinery,Industrial Machinery & Supplies & Components
WULF,Terawulf Inc,$6B (Small),"29,979,820",$14.33,Domestic,Information Technology,Software,Application Software
WVE,WAVE Life Sciences Ltd,$3B (Small),"23,822,090",$16.56,Domestic,Health Care,Pharmaceuticals,Pharmaceuticals
WWD,Woodward Inc,$18B (Mid),"610,110",$297.95,Domestic,Industrials,Aerospace & Defense,Aerospace & Defense
XENE,Xenon Pharmaceuticals Inc,$3B (Small),"782,280",$44.06,Domestic,Health Care,Biotechnology,Biotechnology
XMTR,Xometry Inc,$3B (Small),"659,360",$58.00,Domestic,Industrials,Trading Companies & Distributors,Trading Companies & Distributors
XPO,XPO Inc,$17B (Mid),"1,774,830",$149.06,Domestic,Industrials,Ground Transportation,Cargo Ground Transportation
XRAY,DENTSPLY SIRONA Inc,$2B (Small),"3,320,230",$11.57,Domestic,Health Care,Health Care Equipment & Supplies,Health Care Supplies
XYL,Xylem Inc,$33B (Mid),"1,371,410",$137.10,Domestic,Industrials,Machinery,Industrial Machinery & Supplies & Components
YMM,Full Truck Alliance Co Ltd,$12B (Mid),"6,446,660",$11.76,International (ADR),Industrials,Ground Transportation,Cargo Ground Transportation
YOU,Clear Secure Inc,$5B (Small),"1,806,460",$41.08,Domestic,Information Technology,Software,Application Software
ZBH,Zimmer Biomet Holdings Inc,$18B (Mid),"2,339,600",$91.59,Domestic,Health Care,Health Care Equipment & Supplies,Health Care Equipment
ZBIO,Zenas Biopharma Inc,$2B (Small),"262,590",$40.59,Domestic,Health Care,Biotechnology,Biotechnology
ZBRA,Zebra Technologies Corp,$14B (Mid),"496,970",$268.39,Domestic,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments
ZETA,Zeta Global Holdings Corp,$5B (Small),"4,184,980",$18.56,Domestic,Information Technology,Software,Application Software
ZIM,ZIM Integrated Shipping Services Ltd,$2B (Small),"4,438,350",$18.76,International (ADR),Industrials,Marine Transportation,Marine Transportation
ZM,Zoom Communications Inc,$27B (Mid),"2,637,550",$89.52,Domestic,Information Technology,Software,Application Software
ZS,Zscaler Inc,$38B (Mid),"2,095,610",$236.28,Domestic,Information Technology,Software,Systems Software
ZTO,ZTO Express (Cayman) Inc,$17B (Mid),"1,833,680",$21.44,International (ADR),Industrials,Air Freight & Logistics,Air Freight & Logistics
ZTS,Zoetis Inc,$52B (Large),"5,211,730",$118.66,Domestic,Health Care,Pharmaceuticals,Pharmaceuticals
ZWS,Zurn Elkay Water Solutions Corp,$8B (Mid),"776,600",$47.14,Domestic,Industrials,Building Products,Building Products
ADC,Agree Realty Corp,$8B (Mid),"1,034,710",$71.75,Domestic,Real Estate,Retail REITs,Retail REITs
AEE,Ameren Corp,$26B (Mid),"1,919,510",$97.27,Domestic,Utilities,Multi-Utilities,Multi-Utilities
AEP,American Electric Power Company Inc,$61B (Large),"3,100,380",$114.13,Domestic,Utilities,Electric Utilities,Electric Utilities
AES,AES Corp,$10B (Mid),"7,501,830",$13.83,Domestic,Utilities,Independent Power & Renewable Electricity Producers,Independent Power Producers & Energy Traders
AHR,American Healthcare REIT Inc,$9B (Mid),"2,028,570",$47.25,Domestic,Real Estate,Health Care REITs,Health Care REITs
AKR,Acadia Realty Trust,$3B (Small),"1,336,610",$19.83,Domestic,Real Estate,Retail REITs,Retail REITs
ALE,ALLETE Inc,$4B (Small),"1,487,450",$67.90,Domestic,Utilities,Electric Utilities,Electric Utilities
AMH,American Homes 4 Rent,$12B (Mid),"3,015,900",$31.12,Domestic,Real Estate,Residential REITs,Single-Family Residential REITs
AMT,American Tower Corp,$85B (Large),"3,545,870",$180.70,Domestic,Real Estate,Specialized REITs,Telecom Tower REITs
APLE,Apple Hospitality REIT Inc,$3B (Small),"2,509,340",$12.12,Domestic,Real Estate,Hotel & Resort REITs,Hotel & Resort REITs
ARE,Alexandria Real Estate Equities Inc,$8B (Mid),"3,903,350",$46.64,Domestic,Real Estate,Health Care REITs,Health Care REITs
ATO,Atmos Energy Corp,$27B (Mid),"994,540",$168.37,Domestic,Utilities,Gas Utilities,Gas Utilities
AVA,Avista Corp,$3B (Small),"718,600",$38.56,Domestic,Utilities,Multi-Utilities,Multi-Utilities
AVB,AvalonBay Communities Inc,$25B (Mid),"1,184,670",$176.90,Domestic,Real Estate,Residential REITs,Multi-Family Residential REITs
AWK,American Water Works Co Inc,$26B (Mid),"2,401,750",$131.55,Domestic,Utilities,Water Utilities,Water Utilities
AWR,American States Water Co,$3B (Small),"268,640",$73.95,Domestic,Utilities,Water Utilities,Water Utilities
AXIA,Centrais Eletricas Brasileiras SA - Eletrobras,$23B (Mid),"2,170,470",$11.74,International (ADR),Utilities,Electric Utilities,Electric Utilities
BEKE,Ke Holdings Inc,$20B (Mid),"4,597,980",$17.28,International (ADR),Real Estate,Real Estate Management & Development,Real Estate Services
BEPC,Brookfield Renewable Corp,$7B (Small),"871,010",$38.75,Domestic,Utilities,Independent Power & Renewable Electricity Producers,Renewable Electricity
BIP,Brookfield Infrastructure Partners LP,$23B (Mid),"812,490",$34.75,International (ADR),Utilities,Multi-Utilities,Multi-Utilities
BIPC,Brookfield Infrastructure Corp,$6B (Small),"593,510",$46.33,Domestic,Utilities,Gas Utilities,Gas Utilities
BKH,Black Hills Corp,$5B (Small),"1,027,320",$72.63,Domestic,Utilities,Multi-Utilities,Multi-Utilities
BNL,Broadstone Net Lease Inc,$3B (Small),"1,958,320",$17.67,Domestic,Real Estate,Diversified REITs,Diversified REITs
BRX,Brixmor Property Group Inc,$8B (Mid),"3,374,040",$25.65,Domestic,Real Estate,Retail REITs,Retail REITs
BXP,BXP Inc,$11B (Mid),"1,248,770",$71.41,Domestic,Real Estate,Office REITs,Office REITs
CBRE,CBRE Group Inc,$47B (Large),"1,393,870",$159.58,Domestic,Real Estate,Real Estate Management & Development,Real Estate Services
CCI,Crown Castle Inc,$40B (Mid),"2,663,180",$90.96,Domestic,Real Estate,Specialized REITs,Telecom Tower REITs
CDP,COPT Defense Properties,$3B (Small),"791,270",$29.48,Domestic,Real Estate,Office REITs,Office REITs
CEG,Constellation Energy Corp,$110B (Large),"2,128,310",$351.98,Domestic,Utilities,Electric Utilities,Electric Utilities
CEPU,Central Puerto SA,$2B (Small),"383,540",$16.17,International (ADR),Utilities,Independent Power & Renewable Electricity Producers,Independent Power Producers & Energy Traders
CIG,Energy of Minas Gerais Co,$4B (Small),"3,191,870",$2.04,International (ADR),Utilities,Electric Utilities,Electric Utilities
CIGI,Colliers International Group Inc,$7B (Small),"109,290",$145.53,International (ADR),Real Estate,Real Estate Management & Development,Real Estate Services
CMS,CMS Energy Corp,$21B (Mid),"2,006,340",$69.84,Domestic,Utilities,Multi-Utilities,Multi-Utilities
CNP,CenterPoint Energy Inc,$25B (Mid),"4,705,170",$37.84,Domestic,Utilities,Multi-Utilities,Multi-Utilities
COLD,Americold Realty Trust Inc,$4B (Small),"8,107,110",$12.73,Domestic,Real Estate,Industrial REITs,Industrial REITs
COMP,Compass Inc,$6B (Small),"10,512,850",$10.74,Domestic,Real Estate,Real Estate Management & Development,Real Estate Services
CPK,Chesapeake Utilities Corp,$3B (Small),"121,420",$127.35,Domestic,Utilities,Gas Utilities,Gas Utilities
CPT,Camden Property Trust,$11B (Mid),"937,140",$104.23,Domestic,Real Estate,Residential REITs,Multi-Family Residential REITs
CSGP,CoStar Group Inc,$29B (Mid),"2,938,050",$68.23,Domestic,Real Estate,Real Estate Management & Development,Real Estate Services
CTRE,CareTrust REIT Inc,$8B (Mid),"1,842,780",$36.29,Domestic,Real Estate,Health Care REITs,Health Care REITs
CUBE,CubeSmart,$8B (Mid),"1,863,980",$36.52,Domestic,Real Estate,Specialized REITs,Self-Storage REITs
CURB,Curbline Properties Corp.,$2B (Small),"1,058,820",$22.90,Domestic,Real Estate,Retail REITs,Retail REITs
CUZ,Cousins Properties Inc,$4B (Small),"1,431,820",$25.11,Domestic,Real Estate,Office REITs,Office REITs
CWEN/A,Clearway Energy Inc,$2B (Small),"227,860",$30.43,Domestic,Utilities,Independent Power & Renewable Electricity Producers,Renewable Electricity
CWK,Cushman & Wakefield Ltd,$4B (Small),"2,076,950",$15.29,Domestic,Real Estate,Real Estate Management & Development,Real Estate Services
CWT,California Water Service Group,$3B (Small),"458,980",$44.17,Domestic,Utilities,Water Utilities,Water Utilities
D,Dominion Energy Inc,$51B (Large),"6,657,440",$59.33,Domestic,Utilities,Multi-Utilities,Multi-Utilities
DLR,Digital Realty Trust Inc,$53B (Large),"1,867,950",$153.63,Domestic,Real Estate,Specialized REITs,Data Center REITs
DOC,Healthpeak Properties Inc,$12B (Mid),"7,935,060",$16.62,Domestic,Real Estate,Health Care REITs,Health Care REITs
DTE,DTE Energy Co,$27B (Mid),"1,591,790",$129.80,Domestic,Utilities,Multi-Utilities,Multi-Utilities
DUK,Duke Energy Corp,$90B (Large),"3,552,990",$115.30,Domestic,Utilities,Electric Utilities,Electric Utilities
ED,Consolidated Edison Inc,$35B (Mid),"2,113,600",$97.53,Domestic,Utilities,Multi-Utilities,Multi-Utilities
EGP,Eastgroup Properties Inc,$10B (Mid),"320,620",$182.53,Domestic,Real Estate,Industrial REITs,Industrial REITs
EIX,Edison International,$22B (Mid),"3,058,070",$58.31,Domestic,Utilities,Electric Utilities,Electric Utilities
ELP,Companhia Paranaense de Energia,$4B (Small),"388,600",$10.45,International (ADR),Utilities,Electric Utilities,Electric Utilities
ELS,Equity LifeStyle Properties Inc,$12B (Mid),"1,563,550",$62.05,Domestic,Real Estate,Residential REITs,Single-Family Residential REITs
ENIC,Enel Chile SA,$6B (Small),"462,660",$4.01,International (ADR),Utilities,Electric Utilities,Electric Utilities
EONGY,E.ON SE,$47B (Large),"121,850",$17.86,International (ADR),Utilities,Multi-Utilities,Multi-Utilities
EPR,EPR Properties,$4B (Small),"736,430",$50.07,Domestic,Real Estate,Specialized REITs,Other Specialized REITs
EPRT,Essential Properties Realty Trust Inc,$6B (Small),"1,562,210",$30.53,Domestic,Real Estate,Diversified REITs,Diversified REITs
EQIX,Equinix Inc,$74B (Large),"653,630",$750.32,Domestic,Real Estate,Specialized REITs,Data Center REITs
EQR,Equity Residential,$23B (Mid),"2,244,840",$60.95,Domestic,Real Estate,Residential REITs,Multi-Family Residential REITs
ES,Eversource Energy,$26B (Mid),"2,476,720",$68.11,Domestic,Utilities,Electric Utilities,Electric Utilities
ESS,Essex Property Trust Inc,$17B (Mid),"484,600",$257.62,Domestic,Real Estate,Residential REITs,Multi-Family Residential REITs
ETR,Entergy Corp,$41B (Mid),"3,135,350",$92.35,Domestic,Utilities,Electric Utilities,Electric Utilities
EVRG,Evergy Inc,$17B (Mid),"2,036,720",$73.80,Domestic,Utilities,Electric Utilities,Electric Utilities
EXC,Exelon Corp,$44B (Large),"8,346,930",$43.57,Domestic,Utilities,Electric Utilities,Electric Utilities
EXR,Extra Space Storage Inc,$29B (Mid),"1,276,220",$134.48,Domestic,Real Estate,Specialized REITs,Self-Storage REITs
FCPT,Four Corners Property Trust Inc,$2B (Small),"750,650",$23.06,Domestic,Real Estate,Specialized REITs,Other Specialized REITs
FE,FirstEnergy Corp,$26B (Mid),"4,808,420",$44.26,Domestic,Utilities,Electric Utilities,Electric Utilities
FR,First Industrial Realty Trust Inc,$8B (Mid),"1,115,270",$58.19,Domestic,Real Estate,Industrial REITs,Industrial REITs
FRMI,Fermi Inc,$6B (Small),"9,359,720",$10.09,Domestic,Real Estate,Specialized REITs,Data Center REITs
FRT,Federal Realty Investment Trust,$9B (Mid),"665,130",$99.58,Domestic,Real Estate,Retail REITs,Retail REITs
GLPI,Gaming and Leisure Properties Inc,$12B (Mid),"3,547,460",$43.49,Domestic,Real Estate,Specialized REITs,Other Specialized REITs
HHH,Howard Hughes Holdings Inc,$5B (Small),"345,660",$84.57,Domestic,Real Estate,Real Estate Management & Development,Real Estate Development
HIW,Highwoods Properties Inc,$3B (Small),"1,621,350",$25.86,Domestic,Real Estate,Office REITs,Office REITs
HR,Healthcare Realty Trust Inc,$6B (Small),"2,973,560",$17.18,Domestic,Real Estate,Health Care REITs,Health Care REITs
HST,Host Hotels & Resorts Inc,$13B (Mid),"8,078,360",$18.36,Domestic,Real Estate,Hotel & Resort REITs,Hotel & Resort REITs
IDA,Idacorp Inc,$7B (Small),"489,120",$125.86,Domestic,Utilities,Electric Utilities,Electric Utilities
INVH,Invitation Homes Inc,$16B (Mid),"5,091,060",$26.35,Domestic,Real Estate,Residential REITs,Single-Family Residential REITs
IRM,Iron Mountain Inc,$25B (Mid),"1,858,370",$83.35,Domestic,Real Estate,Specialized REITs,Other Specialized REITs
IRT,Independence Realty Trust Inc,$4B (Small),"2,920,190",$16.93,Domestic,Real Estate,Residential REITs,Multi-Family Residential REITs
IVT,Inventrust Properties Corp,$2B (Small),"525,460",$29.04,Domestic,Real Estate,Retail REITs,Retail REITs
JLL,Jones Lang LaSalle Inc,$16B (Mid),"328,040",$334.65,Domestic,Real Estate,Real Estate Management & Development,Real Estate Services
JOE,St Joe Co,$4B (Small),"241,970",$62.82,Domestic,Real Estate,Real Estate Management & Development,Diversified Real Estate Activities
KEP,Korea Electric Power Corp,$21B (Mid),"355,750",$16.68,International (ADR),Utilities,Electric Utilities,Electric Utilities
KIM,Kimco Realty Corp,$14B (Mid),"4,156,280",$20.16,Domestic,Real Estate,Retail REITs,Retail REITs
KRC,Kilroy Realty Corp,$5B (Small),"1,368,340",$40.46,Domestic,Real Estate,Office REITs,Office REITs
KRG,Kite Realty Group Trust,$5B (Small),"2,032,190",$23.34,Domestic,Real Estate,Retail REITs,Retail REITs
LAMR,Lamar Advertising Co,$13B (Mid),"501,230",$128.00,Domestic,Real Estate,Specialized REITs,Other Specialized REITs
LB,LandBridge Co LLC,$4B (Small),"286,630",$55.21,Domestic,Real Estate,Real Estate Management & Development,Real Estate Operating Companies
LINE,Lineage Inc,$8B (Mid),"1,520,830",$36.82,Domestic,Real Estate,Industrial REITs,Industrial REITs
LNT,Alliant Energy Corp,$17B (Mid),"1,996,050",$65.33,Domestic,Utilities,Electric Utilities,Electric Utilities
LXP,LXP Industrial Trust,$3B (Small),"674,320",$49.71,Domestic,Real Estate,Industrial REITs,Industrial REITs
MAA,Mid-America Apartment Communities Inc,$15B (Mid),"931,620",$132.11,Domestic,Real Estate,Residential REITs,Multi-Family Residential REITs
MAC,Macerich Co,$5B (Small),"1,685,590",$18.67,Domestic,Real Estate,Retail REITs,Retail REITs
MDU,MDU Resources Group Inc,$4B (Small),"2,875,220",$19.59,Domestic,Utilities,Gas Utilities,Gas Utilities
MGEE,MGE Energy Inc,$3B (Small),"120,400",$80.19,Domestic,Utilities,Electric Utilities,Electric Utilities
MPW,Medical Properties Trust Inc,$3B (Small),"6,445,580",$5.10,Domestic,Real Estate,Health Care REITs,Health Care REITs
MRP,Millrose Properties Inc,$5B (Small),"2,942,470",$31.70,Domestic,Real Estate,Specialized REITs,Other Specialized REITs
NEE,Nextera Energy Inc,$170B (Large),"10,788,860",$81.65,Domestic,Utilities,Electric Utilities,Electric Utilities
NFG,National Fuel Gas Co,$7B (Small),"566,300",$82.25,Domestic,Utilities,Gas Utilities,Gas Utilities
NGG,National Grid PLC,$74B (Large),"545,790",$74.93,International (ADR),Utilities,Multi-Utilities,Multi-Utilities
NHI,National Health Investors Inc,$4B (Small),"218,660",$77.29,Domestic,Real Estate,Health Care REITs,Health Care REITs
NI,NiSource Inc,$20B (Mid),"3,265,120",$41.41,Domestic,Utilities,Multi-Utilities,Multi-Utilities
NJR,New Jersey Resources Corp,$5B (Small),"593,780",$45.81,Domestic,Utilities,Gas Utilities,Gas Utilities
NMRK,Newmark Group Inc,$3B (Small),"1,164,730",$17.32,Domestic,Real Estate,Real Estate Management & Development,Real Estate Services
NNN,NNN REIT Inc,$8B (Mid),"1,465,730",$40.47,Domestic,Real Estate,Retail REITs,Retail REITs
NRG,NRG Energy Inc,$31B (Mid),"1,591,810",$161.44,Domestic,Utilities,Electric Utilities,Electric Utilities
NSA,National Storage Affiliates Trust,$2B (Small),"1,193,750",$29.81,Domestic,Real Estate,Specialized REITs,Self-Storage REITs
NWE,NorthWestern Energy Group Inc,$4B (Small),"608,230",$67.84,Domestic,Utilities,Multi-Utilities,Multi-Utilities
O,Realty Income Corp,$53B (Large),"6,034,100",$57.72,Domestic,Real Estate,Retail REITs,Retail REITs
OGE,OGE Energy Corp,$9B (Mid),"1,469,050",$43.05,Domestic,Utilities,Electric Utilities,Electric Utilities
OGS,ONE Gas Inc,$5B (Small),"496,340",$76.93,Domestic,Utilities,Gas Utilities,Gas Utilities
OHI,Omega Healthcare Investors Inc,$13B (Mid),"1,886,820",$43.97,Domestic,Real Estate,Health Care REITs,Health Care REITs
OKLO,Oklo Inc,$14B (Mid),"11,145,640",$87.42,Domestic,Utilities,Electric Utilities,Electric Utilities
OPEN,Opendoor Technologies Inc,$6B (Small),"65,135,250",$6.56,Domestic,Real Estate,Real Estate Management & Development,Real Estate Services
ORA,Ormat Technologies Inc,$7B (Small),"614,730",$113.35,Domestic,Utilities,Independent Power & Renewable Electricity Producers,Renewable Electricity
OTTR,Otter Tail Corp,$4B (Small),"178,430",$84.06,Domestic,Utilities,Electric Utilities,Electric Utilities
OUT,OUTFRONT Media Inc,$4B (Small),"1,267,340",$23.42,Domestic,Real Estate,Specialized REITs,Other Specialized REITs
PAM,Pampa Energia SA,$5B (Small),"142,180",$88.41,International (ADR),Utilities,Electric Utilities,Electric Utilities
PCG,PG&E Corp,$33B (Mid),"22,278,140",$15.16,Domestic,Utilities,Electric Utilities,Electric Utilities
PCH,Potlatchdeltic Corp,$3B (Small),"423,760",$40.28,Domestic,Real Estate,Specialized REITs,Timber REITs
PECO,Phillips Edison & Co Inc,$4B (Small),"745,410",$35.05,Domestic,Real Estate,Retail REITs,Retail REITs
PEG,Public Service Enterprise Group Inc,$39B (Mid),"3,293,720",$78.89,Domestic,Utilities,Multi-Utilities,Multi-Utilities
PK,Park Hotels & Resorts Inc,$2B (Small),"4,359,000",$10.88,Domestic,Real Estate,Hotel & Resort REITs,Hotel & Resort REITs
PLD,Prologis Inc,$121B (Large),"3,379,420",$130.18,Domestic,Real Estate,Industrial REITs,Industrial REITs
PNW,Pinnacle West Capital Corp,$11B (Mid),"1,193,520",$87.81,Domestic,Utilities,Electric Utilities,Electric Utilities
POR,Portland General Electric Co,$5B (Small),"1,157,770",$48.13,Domestic,Utilities,Electric Utilities,Electric Utilities
PPL,PPL Corp,$25B (Mid),"7,557,930",$33.99,Domestic,Utilities,Electric Utilities,Electric Utilities
